ReferenceID,ObjectID,Title,ObjectNumber,ClassificationID,ObjectDate,ThumbPathName,ThumbFileName,ArchIDNum
6,26435,Limestone pseudo-group statue of Penmeru,MFAB_12.1484,18,NULL,https://nrs.harvard.edu,urn-3:FHCL:40682053?width=170&height=170,471647378
6,26437,Head from red granite statue of Seshemnefer II,MFAB_12.1487,18,NULL,https://nrs.harvard.edu,urn-3:FHCL:37863442?width=170&height=170,460120765
6,26452,Limestone triad of Penmeru,MFAB_12.1504,18,NULL,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\PDM\,PDM_06943.jpg,NULL
7,15867,Fragment of limestone seated statue of Nekhebu (?),HUMFA_12-12-9,18,12/04/1912,https://nrs.harvard.edu,urn-3:FHCL:38496886?width=170&height=170,462298239
7,15883,Head of limestone statue,HUMFA_12-12-15,18,12/05/1912,https://nrs.harvard.edu,urn-3:FHCL:38496886?width=170&height=170,462298239
7,15887,Head of limestone statue,HUMFA_12-12-16,18,12/05/1912,https://nrs.harvard.edu,urn-3:FHCL:38496886?width=170&height=170,462298239
7,15905,Limestone obelisk of Nekhebu,HUMFA_12-12-23,119,12/06/1912,https://nrs.harvard.edu,urn-3:FHCL:37863984?width=170&height=170,460121170
7,16193,Copper model neckless shoulder jar,HUMFA_12-12-248,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900594?width=170&height=170,460180264
7,16698,Wood statue of Senedjemib Mehi (?),HUMFA_12-12-206,18,"12/20/1912, 12/21/1912",https://nrs.harvard.edu,urn-3:FHCL:37900628?width=170&height=170,460180315
7,16737,Copper bowl,HUMFA_12-12-226,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900596?width=170&height=170,460180267
7,16743,Copper jar,HUMFA_12-12-229,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900594?width=170&height=170,460180264
7,16784,Copper model table,HUMFA_12-12-253,87,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900592?width=170&height=170,460180261
7,16791,Copper jar with spout,HUMFA_12-12-255,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900594?width=170&height=170,460180264
7,16792,Copper basin,HUMFA_12-12-256,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900594?width=170&height=170,460180264
7,16795,Copper model table,HUMFA_12-12-257,87,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900592?width=170&height=170,460180261
7,16798,Copper model table,HUMFA_12-12-258,87,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900592?width=170&height=170,460180261
7,16799,Copper model table,HUMFA_12-12-259,87,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900592?width=170&height=170,460180261
7,16803,Copper neckless shoulder jar,HUMFA_12-12-260,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900594?width=170&height=170,460180264
7,16813,Copper model table,GEM_875,100,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900592?width=170&height=170,460180261
7,16816,Copper model table,HUMFA_12-12-264,100,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900592?width=170&height=170,460180261
7,16818,Inscribed copper flaring basin,HUMFA_12-12-265,34,12/31/1912,https://nrs.harvard.edu,urn-3:FHCL:37900594?width=170&height=170,460180264
