ReferenceID,ThumbPathName,ThumbFileName,MainPathName,MainFileName
4,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa05_1907_07.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa05_1907_07.pdf
6,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa11_1913_19to22.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa11_1913_19to22.pdf
7,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa11_1913_53to66.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa11_1913_53to66.pdf
8,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa12_1914_34.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa12_1914_34.pdf
12,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa23_1925_12to14.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa23_1925_12to14.pdf
18,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa25_1927_60.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa25_1927_60.pdf
26,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa29_1931_119to120.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa29_1931_119to120.pdf
29,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa32_1934_36.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa32_1934_36.pdf
35,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\,assmann_fs_simpson1996.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\,assmann_fs_simpson1996.pdf
37,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa09_1911_13to20.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa09_1911_13to20.pdf
47,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa05_1907_20to21.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa05_1907_20to21.pdf
48,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa46_1948_30to36.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa46_1948_30to36.pdf
49,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa48_1950_10to17.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa48_1950_10to17.pdf
50,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\,brovarski_fs_simpson1996.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\,brovarski_fs_simpson1996.pdf
51,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\,cwiek_royal_relief_dec.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\,cwiek_royal_relief_dec.pdf
52,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\giza_mastabas\giza_mastabas_1\,giza_mastabas_1.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\giza_mastabas\giza_mastabas_1\,giza_mastabas_1.pdf
53,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa34_1936_03to05.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa34_1936_03to05.pdf
54,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa28_1930_117to123.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa28_1930_117to123.pdf
55,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa37_1939_117to118.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa37_1939_117to118.pdf
56,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa44_1946_23to29.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa44_1946_23to29.pdf
57,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa41_1943_10.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa41_1943_10.pdf
58,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\,dunham_arch_9_1956.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\,dunham_arch_9_1956.pdf
59,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa34_1936_25.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa34_1936_25.pdf
60,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa24_1926_72.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa24_1926_72.pdf
61,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa25_1927_96to98and102.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa25_1927_96to98and102.pdf
62,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa34_1936_46.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa34_1936_46.pdf
63,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa41_1943_68to72.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa41_1943_68to72.pdf
64,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa37_1939_62to64.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa37_1939_62to64.pdf
65,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa33_1935_21to25.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa33_1935_21to25.pdf
66,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa37_1939_41to46.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa37_1939_41to46.pdf
67,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\library\bmfa_pdfs\,bmfa25_1927_54.jpg,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa25_1927_54.pdf
